Natural Language Expression,Normalized Date
today,"April 11, 2025"
tomorrow,"April 12, 2025"
yesterday,"April 10, 2025"
next Monday,"April 14, 2025"
next Tuesday,"April 15, 2025"
next Wednesday,"April 16, 2025"
next Thursday,"April 17, 2025"
next Friday,"April 11, 2025"
next Saturday,"April 12, 2025"
next Sunday,"April 13, 2025"
last Monday,"April 07, 2025"
last Tuesday,"April 08, 2025"
last Wednesday,"April 09, 2025"
last Thursday,"April 10, 2025"
last Friday,"April 11, 2025"
last Saturday,"April 05, 2025"
last Sunday,"April 06, 2025"
end of day,"April 11, 2025"
48 hours from now,"April 13, 2025"
last spring,"March 01, 2024"
this spring,"March 01, 2025"
next spring,"March 01, 2026"
last summer,"June 01, 2024"
this summer,"June 01, 2025"
next summer,"June 01, 2026"
last fall,"September 01, 2024"
this fall,"September 01, 2025"
next fall,"September 01, 2026"
last winter,"December 01, 2023"
this winter,"December 01, 2024"
next winter,"December 01, 2025"
first week of May,"May 1–7, 2025"
last two weeks of August,"August 18–31, 2025"

